sample_id,temperate.deciduous.growth_resp_factor,temperate.deciduous.root_respiration_rate,temperate.deciduous.root_turnover_rate,temperate.deciduous.SLA,temperate.deciduous.leafC,temperate.deciduous.stem_respiration_rate,temperate.deciduous.extinction_coefficient,temperate.deciduous.half_saturation_PAR,temperate.deciduous.fine_root_respiration_Q10,temperate.deciduous.coarse_root_respiration_Q10,temperate.deciduous.fracLeafFall,temperate.deciduous.Vm_low_temp,temperate.deciduous.psnTOpt,temperate.deciduous.AmaxFrac,temperate.deciduous.leaf_turnover_rate,temperate.deciduous.leaf_allocation_fraction,temperate.deciduous.root_allocation_fraction,temperate.deciduous.wood_allocation_fraction,temperate.deciduous.wood_turnover_rate,temperate.deciduous.Amax,temperate.deciduous.dVpdExp,temperate.deciduous.dVPDSlope,temperate.deciduous.leafWHC,temperate.deciduous.wueConst,temperate.deciduous.leafGrowth,temperate.deciduous.GDD,temperate.deciduous.veg_respiration_Q10,temperate.deciduous.leaf_respiration_rate_m2,grass.growth_resp_factor,grass.leaf_turnover_rate,grass.root_respiration_rate,grass.SLA,grass.Vm_low_temp,grass.root_turnover_rate,grass.Amax,grass.leafC,grass.AmaxFrac,grass.psnTOpt,grass.stem_respiration_rate,grass.extinction_coefficient,grass.GDD,grass.half_saturation_PAR,grass.dVPDSlope,grass.dVpdExp,grass.veg_respiration_Q10,grass.fine_root_respiration_Q10,grass.coarse_root_respiration_Q10,grass.fracLeafFall,grass.leafGrowth,grass.leaf_respiration_rate_m2,dummy,ic_ensemble,met_ensemble
1,0.2714217657181535,8.677227478798287,1.5483215101278842,15.17939842686428,46.60755523659851,50,0.5,15.5,3.2,3.2,0.995,0,43.05138603450173,0.8605506857556963,0.75,0.17793424549544531,0.06551006569543283,0.3973546112776268,0.004822476983757486,6.370804146903043,1.5,0.05,0.2,12.103395956512877,114.23616541888576,NA,1.81061169791544,0.660157981,0.3862895450279061,1.0943348819953265,22.214097080275923,10,-3.5,0.19475751637158503,7.009377634803771,48.3,0.75,13.127558797087888,50,0.5,500,15.5,0.13,2,2,3.2,3.2,0.995,126,0.23076923076923078,0.5,11,6
2,0.379746285036624,8.0374753506439,2.617422387565083,14.52247932081014,46.6671819271257,25,0.56,9.75,2.3,4.1,0.9924999999999999,3.5,36.686684707150945,0.8869346248040494,0.625,0.1918382326024105,0.07636601730495751,0.3363281221102083,0.005582861845257538,5.2839162586746715,1.75,0.025,0.25,10.466361602465001,86.23809856714887,NA,1.9508546157231414,0.7540205061352099,0.2764365309602712,1.81501478218678,4.262216660187526,13.372448750980409,-4.174489750196082,0.08698537729836937,7.450397766674242,45.60204099921567,0.825,14.642208885948307,75,0.44,700,9.75,0.19,2.5,2.3,2.3,2.3,0.9975,63,0.15384615384615385,0.75,16,3
3,0.17901620169365545,9.316979606952673,0.9159008916993465,15.83631753291842,46.54792854607132,75,0.44,21.25,4.1,2.3,0.9975,-3.5,50.52028697295788,0.8310264387713121,0.875,0.16457607556407286,0.05566842818735652,0.46060562664178195,0.004134264425520592,7.382911678750414,1.25,0.07500000000000001,0.15,13.903063836020856,151.3240865282969,NA,1.6772590704432275,0.5662954558647901,0.5047062401416393,0.5759461452553611,40.16597750036432,6.627551249019591,-2.8255102498039184,0.43605593677110216,6.5683575029333,50.99795900078433,0.675,11.769590320240704,25,0.56,300,21.25,0.06999999999999999,1.5,1.7,4.1,4.1,0.9924999999999999,189,0.3076923076923077,0.25,6,8
4,0.22538585804889727,8.374998703415551,1.9841652907971141,14.05901596532672,46.70924918596079,87.5,0.41000000000000003,18.375,1.8499999999999999,4.55,0.99375,1.75,32.771063276778776,0.8469851605464553,0.8125,0.15548912175195076,0.07051161191837052,0.36815742826572817,0.004488521142915488,8.047941704365384,1.875,0.0625,0.22499999999999998,15.273642346735105,70.72178269784085,NA,1.7467632047596289,0.500074454751563,0.2086677061571229,1.4099374314109607,52.831218410628864,8.406803180178125,-2.349650619623992,0.13308409731606466,7.217722349121281,43.698602478495964,0.8625,12.467540622346855,12.5,0.53,600,12.625,0.22,2.75,1.5499999999999998,3.65,3.65,0.99375,220.5,0.19230769230769232,0.375,8,4
5,0.46138770120157446,9.768331478529468,0.6323873040195908,15.489737147457566,46.579386668077845,37.5,0.53,6.875,3.65,2.75,0.99875,-5.25,46.43120278359383,0.9036040360984087,0.5625,0.184435791159689,0.04932747122394595,0.5057373455950829,0.006164094382836657,5.865488319924694,1.375,0.0125,0.125,11.310126485177369,130.46308382687502,NA,2.0540123796513248,0.7045000859771012,0.4417589478182976,0.32890897907835187,13.7333518097087,15.75174690188004,-3.818639363964375,0.7700248511374943,6.2572131500461365,49.574557455857494,0.7125,15.814802071242054,62.5,0.41000000000000003,200,24.125,0.09999999999999999,1.75,2.15,1.8499999999999999,1.8499999999999999,0.99875,94.5,0.3461538461538462,0.875,18,9
6,0.3210573215596192,7.586123479067105,1.2082156208677586,14.869059706270994,46.50586128723622,62.5,0.59,24.125,2.75,1.8499999999999999,0.99125,-1.75,39.917592661342496,0.8734141216562973,0.9375,0.20196574610429263,0.06073502535202147,0.295381615832065,0.00517254349806688,6.859062653828035,1.125,0.08750000000000001,0.175,12.932967707792505,100.02754117730575,NA,1.8759980166298698,0.820241507248437,0.33275783541126563,0.8241264560350552,30.694842350843146,11.593196819821875,-3.181360636035625,0.04925878707316604,6.801032920486261,47.0254425441425,0.6375,13.822517623252,87.5,0.59,400,6.875,0.04,1.25,2.45,4.55,4.55,0.99625,157.5,0.11538461538461539,0.625,13,2
7,0.12629826571644895,8.979456254181022,3.79087227635175,16.29978088840184,46.63572380511917,12.5,0.47,12.625,4.55,3.65,0.99625,5.25,56.5566586545578,0.8084027025626611,0.6875,0.17155455323135552,0.0846387458276302,0.42705017202100526,0.0036906792189245544,4.487990759235397,1.625,0.037500000000000006,0.275,9.406010075799031,184.52449856032047,NA,1.5872508328778545,0.6158158760228988,0.587996792063503,2.4401354378124984,-8.403024250077014,4.24825309811996,-4.650349380376008,0.28501143974509724,7.761542119561406,52.90139752150403,0.7875,10.896930558768924,37.5,0.47,800,18.375,0.16,2.25,1.85,2.75,2.75,0.99125,31.5,0.2692307692307693,0.125,3,7
8,0.15409912161085224,8.213624067313726,1.0583498755615484,15.65544207757425,46.62146192013987,18.75,0.395,25.5625,2.075,1.625,0.996875,4.375,44.68806919202929,0.879990488889034,0.59375,0.18795651787176482,0.052773657058112315,0.26397301286800634,0.003357423752801438,7.685067427672914,1.9375,0.03125,0.1125,10.901213507392553,106.98559305575775,NA,1.9115454475816986,0.6382665021688292,0.30530473172899597,1.2445084466702003,18.02719491000121,14.43573279509438,-4.387146559018876,0.10859957213859239,6.689787548783485,50.25510564445867,0.61875,11.371288594396843,6.25,0.605,550,22.6875,0.175,1.625,2.075,3.425,3.875,0.990625,15.75,0.17307692307692307,0.4375,14,9
9,0.3487599174259409,9.518684148750904,3.0886086973573126,14.315362280547358,46.47193489410566,68.75,0.515,14.0625,3.875,3.425,0.991875,-2.625,29.9197913039182,0.8210935453518861,0.84375,0.16048030907061722,0.07327525831246162,0.4119627269206657,0.004993272656043114,5.5894327415849325,1.4375,0.08125,0.2125,14.50510011169652,216.53545556563273,NA,1.6366224595985892,0.8736474048390892,0.5422282141191985,0.19345982428672057,63.04547895703763,7.556117944426653,-3.0112235888853305,0.5622212282504203,7.589445000294794,44.751413763924496,0.76875,14.208534932848782,56.25,0.485,150,11.1875,0.055,2.625,1.4749999999999999,1.625,2.075,0.995625,141.75,0.3269230769230769,0.9375,4,4
10,0.5277815215854685,7.2221173265541845,1.7500092812804338,16.673554707641543,46.56434609992289,43.75,0.575,19.8125,2.9749999999999996,4.325,0.999375,-6.125,53.133866869113454,0.8539402496869235,0.71875,0.1747692780003379,0.09168011839769108,0.3528252410284958,0.005837967215638827,6.614077712839835,1.1875,0.00625,0.26249999999999996,8.606117378821928,78.9226059617446,NA,1.7788986708113665,0.7281764915265294,0.16145062499513696,0.6984747476755773,-1.397750153829417,2.3293972782372707,-3.6573106846101706,0.031139628255234197,7.112236394112186,54.436482177410184,0.84375,16.828534046239287,81.25,0.5449999999999999,350,16.9375,0.11499999999999999,2.125,1.775,4.325,4.775,0.998125,78.75,0.09615384615384616,0.6875,9,6
